RECORD_ID,REGISTER,STR
2015-008890STR,STR-0000583,583
2015-003434STR,STR-0000584,584
2015-008876STR,STR-0000585,585
2015-003379STR,STR-0000586,586
2015-001074STR,STR-0000587,587
2015-006751STR,STR-0000588,588
2015-008314STR,STR-0000589,589
2015-003147STR,STR-0000590,590
2015-007436STR,STR-0000591,591
2015-001918STR,STR-0000592,592
2015-005972STR,STR-0000593,593
2015-005639STR,STR-0000594,594
2015-008916STR,STR-0000595,595
2015-002909STR,STR-0000596,596
2015-008992STR,STR-0000597,597
2015-009073STR,STR-0000598,598
2015-009093STR,STR-0000599,599
2015-009046STR,STR-0000600,600
2015-008337STR,STR-0000601,601
2015-009110STR,STR-0000602,602
2015-009264STR,STR-0000603,603
2015-009367STR,STR-0000604,604
2015-009285STR,STR-0000605,605
2015-009353STR,STR-0000606,606
2015-002894STR,STR-0000607,607
2015-007301STR,STR-0000608,608
2015-002859STR,STR-0000609,609
2015-009657STR,STR-0000610,610
2015-008318STR,STR-0000611,611
2015-007560STR,STR-0000612,612
2015-008270STR,STR-0000613,613
2015-009784STR,STR-0000614,614
2015-009802STR,STR-0000615,615
2015-009653STR,STR-0000616,616
2015-009648STR,STR-0000617,617
2015-007595STR,STR-0000618,618
2015-008868STR,STR-0000619,619
2015-009763STR,STR-0000620,620
2015-006102STR,STR-0000621,621
2015-007562STR,STR-0000622,622
2015-009974STR,STR-0000623,623
2015-009975STR,STR-0000624,624
2015-009981STR,STR-0000625,625
2015-009984STR,STR-0000626,626
2015-003482STR,STR-0000627,627
2015-010003STR,STR-0000628,628
2015-008534STR,STR-0000629,629
2015-009251STR,STR-0000630,630
2015-010164STR,STR-0000631,631
2015-006108STR,STR-0000632,632
2015-007592STR,STR-0000633,633
2015-010300STR,STR-0000634,634
2015-010306STR,STR-0000635,635
2015-010149STR,STR-0000636,636
2015-009364STR,STR-0000637,637
2015-010436STR,STR-0000638,638
2015-010348STR,STR-0000639,639
2015-010643STR,STR-0000640,640
2015-010653STR,STR-0000641,641
2015-008032STR,STR-0000642,642
2015-010658STR,STR-0000643,643
2015-010607STR,STR-0000644,644
2015-010609STR,STR-0000645,645
2015-009295STR,STR-0000646,646
2015-004288STR,STR-0000647,647
2015-008542STR,STR-0000648,648
2015-009991STR,STR-0000649,649
2015-010512STR,STR-0000650,650
2015-010639STR,STR-0000651,651
2015-010624STR,STR-0000652,652
2015-010437STR,STR-0000653,653
2015-007093STR,STR-0000654,654
2015-010939STR,STR-0000655,655
2015-010936STR,STR-0000656,656
2015-010984STR,STR-0000657,657
2015-011001STR,STR-0000658,658
2015-011110STR,STR-0000659,659
2015-011095STR,STR-0000660,660
2015-011103STR,STR-0000661,661
