b1_alt_id,EXISTING_GPROC_SD_STP_NUM,EXISTING_GPROC_SD_PRO_DES,NEW_SPROC_SD_PRO_ID1,EXISTING_GPROC_SD_PROD_ID1,NEW_SPROC_SD_NXT_ID1,EXISTING_GPROC_SD_NXT_ID1,SD_PRO_DES,SD_APP_DES,RELATION_SEQ_ID
2015-010558ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-010558ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-011264ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011264ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011264ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011267ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011267ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011267ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011268ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011268ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011268ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011269ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011269ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011269ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011271ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011271ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011271ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011272ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011272ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011272ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011336ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011336ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011336ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011337ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011337ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011337ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011338ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011338ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-011338ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-011340ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-011340ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
