RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2019-006689STR,28074227,212074611,https://www.airbnb.com/rooms/28074227,Airbnb,1082
2019-006796STR,34081671,36746051,https://www.airbnb.com/rooms/34081671,Airbnb,1083
2019-006812STR,34372749,3985908,https://www.airbnb.com/rooms/34372749,Airbnb,1084
2019-006823STR,32644099,293971,https://www.airbnb.com/rooms/32644099,Airbnb,1085
2019-006868STR,27468147,1287675,https://www.airbnb.com/rooms/27468147,Airbnb,1086
2019-007024STR,32477424,15820085,https://www.airbnb.com/rooms/32477424,Airbnb,1087
2019-007034STR,18111498,124779213,https://www.airbnb.com/rooms/18111498,Airbnb,1088
2019-007180STR,33271309,226685582,https://www.airbnb.com/rooms/33271309,Airbnb,1089
2019-007200STR,10058134,81879,https://www.airbnb.com/rooms/10058134,Airbnb,1090
2019-007204STR,23106047,6817200,https://www.airbnb.com/rooms/23106047,Airbnb,1091
2019-007209STR,7393518,37191616,https://www.airbnb.com/rooms/7393518,Airbnb,1092
2019-007242STR,27580180,50840359,https://www.airbnb.com/rooms/27580180,Airbnb,1093
2019-011876STR,32072704,179161726,https://www.airbnb.com/rooms/32072704,Airbnb,1094
2019-011881STR,27699796,40448918,https://www.airbnb.com/rooms/27699796,Airbnb,1095
2019-011920STR,35809668,172278627,https://www.airbnb.com/rooms/35809668,Airbnb,1096
2019-012053STR,28384050,203829399,https://www.airbnb.com/rooms/28384050,Airbnb,1097
2019-012133STR,958,1169,https://www.airbnb.com/rooms/958,Airbnb,1098
2019-012227STR,10681956,55065227,https://www.airbnb.com/rooms/10681956,Airbnb,1099
2019-012232STR,2657328,,https://www.airbnb.com/rooms/2657328,Airbnb,1100
2019-012550STR,29661822,965865,https://www.airbnb.com/rooms/29661822,Airbnb,1101
2019-012785STR,35194508,229168410,https://www.airbnb.com/rooms/35194508,Airbnb,1102
2019-012936STR,35126491,264577957,https://www.airbnb.com/rooms/35126491,Airbnb,1103
2019-013170STR,32105504,24679296,https://www.airbnb.com/rooms/32105504,Airbnb,1104
2019-013395STR,29611738,7613704,https://www.airbnb.com/rooms/29611738,Airbnb,1105
2019-013509STR,23700802,177152067,https://www.airbnb.com/rooms/23700802,Airbnb,1106
2019-013558STR,20425693,21226960,https://www.airbnb.com/rooms/20425693,Airbnb,1107
2019-013564STR,27852325,162137718,https://www.airbnb.com/rooms/27852325,Airbnb,1108
2019-013642STR,3946571,20452861,https://www.airbnb.com/rooms/3946571,Airbnb,1109
2019-013649STR,23973946,5153848,https://www.airbnb.com/rooms/23973946,Airbnb,1110
2019-013772STR,325478,1579337,https://www.airbnb.com/rooms/325478,Airbnb,1111
2019-013774STR,1906323,9754790,https://www.airbnb.com/rooms/1906323,Airbnb,1112
2019-013778STR,748222,516404,https://www.airbnb.com/rooms/748222,Airbnb,1113
2019-013779STR,33943537,43118853,https://www.airbnb.com/rooms/33943537,Airbnb,1114
2019-013781STR,2396847,10895766,https://www.airbnb.com/rooms/2396847,Airbnb,1115
2019-013782STR,1203172,6572139,https://www.airbnb.com/rooms/1203172,Airbnb,1116
2019-013784STR,3168359,16071511,https://www.airbnb.com/rooms/3168359,Airbnb,1117
2019-014035STR,30744282,223437075,https://www.airbnb.com/rooms/30744282,Airbnb,1118
2019-014036STR,32716394,82697224,https://www.airbnb.com/rooms/32716394,Airbnb,1119
2019-014054STR,1699390,8973745,https://www.airbnb.com/rooms/1699390,Airbnb,1120
2019-014068STR,137129,639671,https://www.airbnb.com/rooms/137129,Airbnb,1121
2019-014088STR,32702921,245910178,https://www.airbnb.com/rooms/32702921,Airbnb,1122
2019-014125STR,31903595,11331456,https://www.airbnb.com/rooms/31903595,Airbnb,1123
2019-014140STR,28363414,151607879,https://www.airbnb.com/rooms/28363414,Airbnb,1124
2019-014145STR,31210673,12576255,https://www.airbnb.com/rooms/31210673,Airbnb,1125
2019-014155STR,33667375,44934464,https://www.airbnb.com/rooms/33667375,Airbnb,1126
2019-014159STR,32962090,4464641,https://www.airbnb.com/rooms/32962090,Airbnb,1127
2019-014223STR,34932707,263228847,https://www.airbnb.com/rooms/34932707,Airbnb,1128
2019-014245STR,42603642,149423004,https://www.airbnb.com/rooms/42603642,Airbnb,1129
2019-014273STR,38799959,275853781,https://www.airbnb.com/rooms/38799959,Airbnb,1130
2019-014287STR,27260835,13929582,https://www.airbnb.com/rooms/27260835,Airbnb,1131
2019-014288STR,31123927,232610653,https://www.airbnb.com/rooms/31123927,Airbnb,1132
2019-014290STR,37524923,256664854,https://www.airbnb.com/rooms/37524923,Airbnb,1133
2019-014291STR,35646279,66762479,https://www.airbnb.com/rooms/35646279,Airbnb,1134
2019-014340STR,3157541,14765200,https://www.airbnb.com/rooms/3157541,Airbnb,1135
2019-014362STR,32727287,65800040,https://www.airbnb.com/rooms/32727287,Airbnb,1136
