RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1981.688C,2/18/1982,Approved,9314,Approved
1981.692V,4/15/1982,Disapproved,,Disapproved
1981.693V,8/24/1982,Approved,,Approved
1981.697V,1/27/1982,Approved,,Approved
1981.708V,3/25/1982,Approved,,Approved
1981.712V,5/26/1982,Disapproved,,Disapproved
1981.714V,5/10/1982,Approved,,Approved
1981.718C,3/4/1982,Approved,9330,Approved
1982.004V,5/17/1982,Disapproved,,Disapproved
1982.005V,6/21/1982,Approved,,Approved
1982.006C,3/4/1982,Approved,9328,Approved
1982.006V,6/3/1982,Approved,,Approved
1982.007C,2/18/1982,Disapproved,9317,Disapproved
1982.013V,3/18/1982,Disapproved,,Disapproved
1982.014C,6/3/1982,Approved,9414,Approved
1982.016C,5/13/1982,Approved,9388,Approved
1982.020V,5/11/1982,Disapproved,,Disapproved
1982.022V,3/16/1982,Disapproved,,Disapproved
1982.023V,5/10/1982,Approved,,Approved
1982.024V,7/19/1982,Approved,,Approved
1982.025C,2/11/1982,Approved,9311,Approved
1982.026V,4/23/1982,Disapproved,,Disapproved
1982.028V,4/12/1982,Approved,,Approved
1982.034V,4/15/1982,Disapproved,,Disapproved
1982.049V,4/1/1982,Approved,,Approved
1982.062C,7/1/1982,Approved,9442,Approved
1982.066V,6/16/1982,Approved,,Approved
1982.072C,4/1/1982,Disapproved,9359,Disapproved
1982.075C,6/3/1982,Disapproved,9412,Disapproved
1982.075V,5/26/1982,Disapproved,,Disapproved
1982.076V,5/10/1982,Approved,,Approved
1982.077V,6/10/1982,Approved,,Approved
1982.079V,4/21/1982,Disapproved,,Disapproved
1982.083V,4/30/1982,Approved,,Approved
1982.090C,7/22/1982,Approved,9465,Approved
1982.091C,3/24/1983,Approved,9358,Approved
1982.093C,4/1/1982,Approved,9358,Approved
1982.103V,6/1/1982,Approved,,Approved
1982.105V,6/29/1982,Approved,,Approved
1982.106V,11/19/1982,Approved,,Approved
1982.108V,6/1/1982,Approved,,Approved
1982.121V,6/2/1982,Approved,,Approved
1982.122V,7/1/1982,Disapproved,,Disapproved
1982.129C,11/7/1985,Approved,10488,Approved
1982.136V,6/14/1982,Approved,,Approved
1982.137V,7/8/1982,Approved,,Approved
1982.138V,6/1/1982,Approved,,Approved
1982.139V,6/1/1982,Approved,,Approved
1982.140V,7/12/1982,Approved,,Approved
1982.141V,9/28/1982,Disapproved,,Disapproved
1982.143V,6/19/1982,Disapproved,,Disapproved
1982.145V,6/1/1982,Approved,,Approved
1982.146V,6/1/1982,Approved,,Approved
1982.147V,12/21/1982,Disapproved,,Disapproved
1982.153C,10/14/1982,Approved,,Approved
1982.154V,6/29/1982,Approved,,Approved
1982.155C,5/27/1982,Approved,9407,Approved
1982.156C,4/29/1982,Approved,9377,Approved
1982.158V,7/30/1982,Approved,,Approved
1982.161C,7/1/1982,Approved,,Approved
1982.167C,3/3/1983,Approved,9633,Approved
1982.168V,7/23/1982,Approved,,Approved
1982.174C,7/22/1982,Approved,9461,Approved
1982.178V,6/2/1982,Approved,,Approved
1982.183C,7/1/1982,Approved,,Approved
1982.186V,8/31/1982,Disapproved,,Disapproved
1982.190C,6/10/1982,Approved,9422,Approved
1982.192V,7/8/1982,Approved,,Approved
1982.196V,4/15/1983,Approved,,Approved
1982.198V,7/12/1982,Approved,,Approved
1982.199V,9/7/1982,Approved,,Approved
1982.200C,3/3/1983,Approved,,Approved
1982.200V,11/30/1983,Approved,,Approved
1982.201V,6/28/1982,Approved,,Approved
1982.202V,6/21/1982,Approved,,Approved
1982.203C,11/14/1985,Approved,10492,Approved
1982.206V,10/15/1982,Approved,,Approved
1982.207V,7/22/1982,Approved,,Approved
1982.208V,7/22/1982,Approved,,Approved
1982.210C,10/16/2014,Approved,AIR EXEC INC,Approved
1982.213C,7/22/1982,Approved,9460,Approved
1982.215C,6/10/1982,Approved,9421,Approved
1982.220C,6/10/1982,Approved,9420,Approved
1982.221V,2/17/1984,Approved,,Approved
1982.222C,6/10/1982,Approved,9791,Approved
1982.224C,8/18/1983,Approved,9791,Approved
1982.227C,6/10/1982,Approved,9419,Approved
1982.228C,6/9/1982,Approved,,Approved
1982.229C,8/12/1982,Approved,,Approved
1982.232V,7/26/1982,Approved,,Approved
1982.234V,2/24/1983,Approved,,Approved
1982.235C,7/1/1982,Approved,9443,Approved
1982.236C,1/13/1983,Approved,,Approved
1982.238C,8/12/1982,Approved,9477,Approved
1982.240V,8/16/1982,Approved,,Approved
1982.241C,10/27/1983,Approved,9852,Approved
1982.242V,8/23/1982,Approved,,Approved
1982.243V,7/8/1982,Approved,,Approved
1982.244V,8/24/1982,Disapproved,,Disapproved
1982.245C,9/16/1982,Approved,9510,Approved
1982.245V,9/20/1982,Approved,,Approved
1982.246V,8/3/1982,Approved,,Approved
1982.247C,7/8/1982,Approved,9445,Approved
1982.252V,8/23/1982,Approved,,Approved
1982.254V,8/20/1982,Approved,,Approved
1982.256V,8/20/1982,Approved,,Approved
1982.257C,10/21/1982,Withdawn,,Withdawn
1982.258C,7/1/1982,Approved,9438,Approved
1982.259V,8/24/1982,Approved,,Approved
1982.263C,9/2/1982,Approved,9493,Approved
1982.265V,9/27/1982,Approved,,Approved
1982.267C,7/8/1982,Approved,9446,Approved
1982.285V,9/7/1982,Approved,,Approved
1982.286V,6/14/1982,Disapproved,,Disapproved
1982.287V,9/3/1982,Approved,,Approved
1982.292V,4/21/1983,Approved,,Approved
1982.296V,9/27/1982,Disapproved,,Disapproved
1982.298V,11/23/1982,Approved,,Approved
1982.300V,9/8/1982,Approved,,Approved
1982.306V,9/27/1982,Disapproved,,Disapproved
1982.307C,7/7/1983,Approved,9744,Approved
1982.307V,9/7/1982,Approved,,Approved
1982.308V,9/17/1982,Disapproved,,Disapproved
