RECORD ID,RECORD NAME,BAN Checklist
2018-004790STR,11 Encline Ct,1019367
2019-006524STR,678 BROADWAY,1019484
2019-020196STR,606 Kansas Street (2nd application),1019773
2019-020259STR,606 Kansas St,1019773
2018-000771STR,1280 Lombard Street,1020496
2019-021400STR,1280 Lombard,1020496
2018-000070STR,"178 Bluxome Street, Unit 505",1020512
2019-018248STR,178 Bluxome Street,1020512
2019-018394STR,178 Bluxome Street Unit 505,1020512
2019-018739STR,178 Bluxome Street,1020512
2019-018885STR,178 Bluxome Street Unit 505,1020512
2019-020300STR,543 Dolores St,1020711
2019-021659STR,1406 Thomas Avenue,1020722
2017-016222STR,440 CORBETT AVE,1020727
2018-005233STR,533 Missouri Street Unit 1,1020734
2018-011781STR,2945 Lincoln Way,1020819
2020-005330STR,380 Rolph Street,1020832
2018-004951STR,133 Eureka Street,1020843
2018-016481STR,160 OTSEGO AVE,1020846
2017-013621STR,461 14TH ST,1020850
2018-000071STR,716 2nd Avenue Unit 7,1020916
2019-017149STR,625 COLE ST,1020918
2019-018175STR,625 Cole Street,1020918
2018-000072STR,1918 15th St apt 2,1020922
2019-018160STR,1918 15th Street Unit 2,1020922
2018-008462STR,36 Aladdin Terrace | Late Renewal Submittal,1020970
2020-000273STR,160 Vicksburg Street,1020977
2020-005192STR,738 Masonic Avenue,1020987
2019-002809STR,15 SANTA ROSA AVE,1020992
2018-004961STR,359 Waller Street #4,1021138
2018-004148STR,2755 Sutter Street,1021156
2019-020453STR,546 24th Avenue,1021180
2020-004430STR,546 24th Avenue,1021180
2018-004832STR,63 Paramount Terrace,1021280
2019-021420STR,63 PARAMOUNT TER,1021280
2019-018186STR,201 Harrison Street ,1021291
2018-000073STR,974 Girard St,1021322
2017-012365STR,275 RANDALL ST,1021331
2019-019294STR,275 Randall Street,1021331
2018-011830STR,747 Waller Street,1021344
2020-004511STR,41 States Street,1021370
2020-003076STR,14 Avila Street,1021377
2019-020258STR,654 Precita Avenue,1021401
2018-000074STR,1 Bluxome Street 403,1021415
2019-018266STR,1429 43rd Avenue,1021434
2019-018332STR,1429 43rd Avenue,1021434
2019-018757STR,1429 43rd Avenue - Duplicate,1021434
2019-018823STR,1429 43rd Avenue,1021434
2019-020293STR,240 Castro Street,1021441
2020-001632STR,1212 Arguello Blvd,1021462
2017-006017STR,214 Corbett Avenue,1021512
2018-000075STR,33 Vandewater Street Unit 305,1021543
2019-021488STR,"33 Vandewater Street, 305",1021543
2018-000076STR,4009 18th Street,1021548
2018-000077STR,3806 19th Street,1021554
2020-004384STR,6022 California Street,1021568
2018-000078STR,562 Page St,1021584
2019-004453STR,2905 23rd Street,1021610
2019-016450STR,244 30th Street,1021622
2018-000079STR,1141 Cole Street,1021631
2019-018193STR,4600 18TH STREET,1021633
2019-020890STR,4600 18th Street,1021633
2019-003948STR,2501 Harrison Street Unit 5,1021644
2020-004578STR,1077 ALABAMA ST,1021652
2020-005166STR,2483 16th Avenue,1021656
2019-016597STR,546 33rd Avenue,1021666
2018-000080STR,2187 Golden Gate Avenue,1021670
2017-005635STR,1430 23rd Avenue,1021713
2018-004863STR,885 Kansas Street,1021718
2018-004982STR,1272 Hampshire Street,1021730
2018-005172STR,82 Henry St,1021737
2017-006167STR,1545 Sacramento Street Unit 6,1021782
2018-004876STR,2445 Fillmore Street Unit 1,1021799
2020-004583STR,1447 FULTON ST,1021805
2017-016138STR,234 Guerrero Street STR,1021828
2019-021499STR,234 GUERRERO ST,1021828
2019-007036STR,3055 Laguna Street,1021838
2019-013093STR,2848 Greenwich Street,1021850
2019-004904STR,2022 Beach Street,1021857
2019-021496STR,2022 Beach Sreet,1021857
2019-014114STR,308 Oxford Street,1021858
2020-005058STR,2162 Pine Street Unit 103,1021870
2019-000669STR,829 FILLMORE STREET,1021881
2019-012133STR,72 PIERCE ST,1021891
2019-022749STR,1006 Tennessee Street,1021919
2018-001466STR,2471 MISSION ST,1021931
2019-021541STR,2471MISSION ST. B,1021931
2020-000522STR,525 PRECITA AVE,1021933
2018-008712STR,527 44th Avenue,1021936
2020-005186STR,78 Milton Street,1021938
2019-018510STR,681 Waller Street,1021956
2019-019001STR,681 Waller Street,1021956
2018-005225STR,63 Woodland Avenue,1022001
2019-020891STR,710 Oak Street,1022004
2018-000081STR,2139 Turk St,1022015
2019-003632STR,2139 TURK BLVD,1022015
2018-005209STR,1779 10th Avenue,1022018
2018-000082STR,171 Coleridge Street,1022020
2020-004567STR,337 RICHLAND AVE,1022046
2017-007860STR,51 Virginia Avenue,1022057
2019-020589STR,51 Virginia Ave,1022057
2018-000083STR,1020 Anza Street Apt 4,1022187
2019-020227STR,970 Wisconsin Street Unit 2,1022193
2019-003639STR,2351 29th Avenue,1022222
2018-004933STR,30 CAINE AVE,1022250
2018-005046STR,375 Capp Street,1022554
2019-018171STR,3436 19th Street Unit A,1022560
2018-016219STR,2490 California Street Unit 5 (New application after prior expiration),1022578
2019-018152STR,"2490 California Street, Unit 5",1022578
2019-002714STR,223 Clipper Street,1022644
2018-004846STR,2912 Steiner Street Unit 3,1022676
2019-018478STR,3862 23rd Street,1022678
2019-018969STR,3862 23rd Street,1022678
2018-006235STR,1382 South Van Ness Ave,1022682
2018-000988STR,4675 18th Street STR,1022745
2018-000084STR,616 Baker St,1022746
2019-018159STR,616 Baker Street,1022746
2020-004366STR,101 PRENTISS ST,1022748
2018-002265STR,28 Toledo Way,1022752
2018-005180STR,2006 Pierce Street Unit 1,1022757
2019-018650STR,2006 Pierce St.,1022757
2019-019140STR,2006 Pierce St.,1022757
2020-005162STR,419 14th Street,1022811
2020-004463STR,1464 Grove St #202,1022815
2018-005068STR,370 London Street,1022824
2019-019349STR,260 Los Palmos Drive,1022942
2018-003186STR,750 Pine Street Unit 24,1022977
2018-000591STR,1310 Fulton Street Unit 204 STR,1022982
2018-000085STR,1644 ALABAMA ST,1022992
2020-005274STR,185 Crescent Avenue,1023016
2018-010584STR,3456 16TH ST,1023036
2017-016610STR,3 Peralta Avenue STR,1023043
2018-000086STR,3 peralta avenue,1023043
2020-004652STR,3 Peralta Avenue,1023043
2017-016408STR,1329 Columbus Avenue Unit B STR,1023044
2018-000087STR,1329 Columbus Avenue B,1023044
2019-021437STR,1329 Columbus Ave Lvl2 ,1023044
2019-020096STR,1536 Noe Street,1023063
2020-005047STR,4231 26th Street Unit A,1023066
2018-000088STR,1125 Cortland Avenue,1023109
2020-005233STR,281 16th Avenue,1023111
2018-004826STR,21 Bessie Street,1023114
2018-005292STR,43 Lucky Street,1023117
2019-014054STR,3433 25th Street,1023165
2019-005099STR,2922 25th Avenue,1023170
2019-000670STR,1809 PAGE ST,1023183
2020-004582STR,329 HILL ST,1023189
2020-001726STR,12 Carson Street,1023191
2017-016391STR,145 Magnolia Street,1023213
2018-005268STR,636 Lyon Street,1023232
2018-005008STR,2472 California Street,1023240
2019-019187STR,2472 California Street,1023240
2017-015520STR,1826 EDDY ST UNIT 103,1023241
2019-019957STR,835 Baker Street,1023255
2018-008705STR,137 MILTON STREET,1023262
2018-004810STR,550 Sargent st,1023272
2018-008098STR,4629 18TH ST,1023355
2019-021422STR,4629 18th Street,1023355
2020-005027STR,58 Ceres Street,1023494
2018-010767STR,178 Bluxome Street Unit 178 Bluxome Street Unit 510 SUSPENDED DUE TO BUILDING COMPLAINT,1023512
2018-005199STR,61 Ford Street,1023532
2019-014340STR,53 Diamond Street,1023533
2018-000854STR,1266 32nd Avenue STR,1023534
2018-004855STR,137 Brussels Street,1023535
2017-016640STR,2577 Post Street STR,1023553
2018-000089STR,2577 Post Street,1023553
2019-020276STR,3526 17th St.,1023617
2018-016638STR,2685 California Street,1023630
2019-014609STR,201 Randall Street,1023647
2018-000090STR,80 Miraloma Dr,1023705
2018-007176STR,80 Miraloma Drive (2nd application),1023705
