"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"2015-012595ENF","AAU signs","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-012699ENF","AAU canopy","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012699ENF","AAU canopy","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012699ENF","AAU canopy","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-012702ENF","AAU awnings","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012702ENF","AAU awnings","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012702ENF","AAU awnings","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-012704ENF","AAU canopy","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012704ENF","AAU canopy","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012704ENF","AAU canopy","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-012773ENF","AAU sign","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012773ENF","AAU sign","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012773ENF","AAU sign","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-013197ENF","1360 24th Avenue Illegal Short-Term Rentals by Prior Property Owner","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2015-013197ENF","1360 24th Avenue Illegal Short-Term Rentals by Prior Property Owner","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2015-013197ENF","1360 24th Avenue Illegal Short-Term Rentals by Prior Property Owner","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2015-013540ENF","AAU 170-180 New Montgomery","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-013540ENF","AAU 170-180 New Montgomery","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-013540ENF","AAU 170-180 New Montgomery","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-013579ENF","AAU 77 NEW MONTGOMERY ST","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-013579ENF","AAU 77 NEW MONTGOMERY ST","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-013579ENF","AAU 77 NEW MONTGOMERY ST","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-013642ENF","Student / Group Housing","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-013642ENF","Student / Group Housing","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-013642ENF","Student / Group Housing","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2015-013700ENF","1256 Howard Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2015-013700ENF","1256 Howard Street","On Hold","Remove Hold","018000000000000","017000000000000","Under Review"
"2015-013700ENF","1256 Howard Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2015-014724ENF","1228 FUNSTON AVE","Completion Processing","New Information","019000000000000","000013000000000","On Hold"
"2015-014724ENF","1228 FUNSTON AVE","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-014724ENF","1228 FUNSTON AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-016363ENF","662 Hampshire","Completion Processing","NULL","017000000000000","000013000000000","Void"
"2015-016363ENF","662 Hampshire","Analysis","Inquiries","016001000000000","017000000000000","Void"
"2015-018072ENF","1914 Golden Gate Avenue","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2015-018072ENF","1914 Golden Gate Avenue","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2015-018072ENF","1914 Golden Gate Avenue","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001221ENF","639 2nd Avenue","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2016-001221ENF","639 2nd Avenue","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2016-001221ENF","639 2nd Avenue","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2016-001245ENF","1362 Utah Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001245ENF","1362 Utah Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001245ENF","1362 Utah Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001449ENF","Auto Repair / Storage at Dwelling","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2016-001449ENF","Auto Repair / Storage at Dwelling","On Hold","NULL","018000000000000","017000000000000","Pending Closure"
"2016-001449ENF","Auto Repair / Storage at Dwelling","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2016-001456ENF","Auto Repair / Storage at Dwelling","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
